source, target, weight; 
 113, 8531, 0.095258
 113, 8532, -0.025303
 113, 9002, 0.197504
 113, 9213, 0.094443
 113, 9231, 0.100186
 113, 9261, 0.053644
 113, 9262, 0.119939
 113, 9272, 0.103632
 113, 9301, 0.079979
 113, 9302, 0.047813
 113, 9500, 0.094850
 121, 111, 0.412932
 121, 112, 0.532386
 121, 113, 0.100262
 121, 122, 0.910228
 121, 123, 0.843314
 121, 124, 0.205519
 121, 130, 0.965367
 121, 141, 0.895695
 121, 142, 0.930794
 121, 201, 0.095049
 121, 202, 0.092996
 121, 501, 0.211306
 121, 502, 0.193473
 121, 1030, 0.353664
 121, 1411, 0.299836
 121, 1421, 0.100262
 121, 1511, 0.452794
 121, 1512, 0.163427
 121, 1513, 0.240684
 121, 1533, 0.083348
 121, 1551, 0.544091
 121, 1552, 0.110349
 121, 1571, 0.658938
 121, 1581, 0.055597
 121, 1584, 0.083992
 121, 1589, 0.224604
 121, 1594, 0.091869
 121, 1598, 0.089735
 121, 1740, 0.104322
 121, 1752, 0.107418
 121, 1824, 0.107371
 121, 2010, 0.098497
 121, 2020, 0.104904
 121, 2051, 0.099398
 121, 2213, 0.082457
 121, 2222, 0.074943
 121, 2320, 0.109249
 121, 2415, 0.201197
 121, 2441, 0.134398
 121, 2442, 0.048946
 121, 2466, 0.080121
 121, 2521, 0.203175
 121, 2523, 0.140363
 121, 2524, 0.137095
 121, 2661, 0.061209
 121, 2663, 0.079287
 121, 2666, 0.106214
 121, 2670, 0.101909
 121, 2682, 0.059050
 121, 2710, 0.184671
 121, 2811, 0.103998
 121, 2821, 0.048522
 121, 2852, 0.222629
 121, 2912, 0.174020
 121, 2922, 0.169600
 121, 2924, 0.045844
 121, 2932, 0.365595
 121, 2943, 0.097775
 121, 2952, 0.106356
 121, 2956, 0.096264
 121, 3002, 0.035389
 121, 3161, 0.047457
 121, 3210, 0.191561
 121, 3310, -0.003384
 121, 3320, 0.083090
 121, 3340, 0.134527
 121, 3511, 0.107733
 121, 3530, 0.102342
 121, 3613, 0.248352
 121, 3650, 0.108568
 121, 3662, 0.076315
 121, 3710, 0.193143
 121, 3720, 0.323429
 121, 4011, 0.214042
 121, 4511, 0.289605
 121, 4512, 0.101327
 121, 4521, 0.371693
 121, 4522, 0.099639
 121, 4523, 0.229288
 121, 4525, 0.300747
 121, 4531, 0.119275
 121, 4532, 0.067140
 121, 4533, 0.080274
 121, 4541, 0.255935
 121, 4542, 0.213446
 121, 4543, 0.091833
 121, 4544, 0.142669
 121, 4545, 0.065872
 121, 4550, 0.333867
 121, 5010, 0.083555
 121, 5020, 0.134800
 121, 5030, 0.099510
 121, 5050, 0.030863
 121, 5111, 0.747290
 121, 5114, 0.189673
 121, 5118, 0.174817
 121, 5121, 0.522265
 121, 5131, 0.158163
 121, 5132, 0.276753
 121, 5133, 0.230036
 121, 5134, 0.040358
 121, 5139, 0.056560
 121, 5141, 0.097039
 121, 5145, 0.086363
 121, 5151, 0.155777
 121, 5153, 0.041868
 121, 5154, 0.344155
 121, 5187, 0.246878
 121, 5188, 0.325074
 121, 5211, -0.140935
 121, 5212, 0.032051
 121, 5221, 0.101973
 121, 5222, 0.193386
 121, 5224, 0.068020
 121, 5225, 0.053835
 121, 5227, 0.168444
 121, 5231, 0.009830
 121, 5242, -0.298979
 121, 5244, 0.079977
 121, 5245, 0.052351
 121, 5246, 0.019642
 121, 5247, 0.063741
 121, 5248, -0.233220
 121, 5263, 0.066501
 121, 5272, 0.104893
 121, 5510, 0.119781
 121, 5522, 0.107443
 121, 5523, 0.138663
 121, 5530, -0.063407
 121, 5540, -0.004162
 121, 5552, 0.045030
 121, 6010, 0.089111
 121, 6021, 0.258947
 121, 6022, 0.180846
 121, 6023, 0.159963
 121, 6024, 0.398072
 121, 6210, 0.112614
 121, 6312, 0.125559
 121, 6323, 0.043538
 121, 6330, 0.070159
 121, 6340, 0.044205
 121, 6411, 0.206600
 121, 6412, 0.342929
 121, 6420, 0.003722
 121, 6512, -0.082070
 121, 6522, 0.011986
 121, 6601, 0.063121
 121, 6603, -0.002844
 121, 6712, 0.026129
 121, 6720, 0.018675
 121, 7011, 0.179788
 121, 7020, 0.201988
 121, 7031, 0.224819
 121, 7032, 0.011423
 121, 7110, 0.234759
 121, 7123, 0.096300
 121, 7131, 0.316024
 121, 7132, 0.393506
 121, 7134, 0.250102
 121, 7222, -0.065820
 121, 7230, 0.024063
 121, 7260, -0.008285
 121, 7310, 0.038632
 121, 7411, 0.049970
 121, 7412, -0.019867
 121, 7413, 0.053593
 121, 7414, -0.079629
 121, 7415, -0.061233
 121, 7420, -0.099814
 121, 7430, 0.071085
 121, 7440, 0.054393
 121, 7450, -0.346730
 121, 7460, 0.020957
 121, 7470, -0.102033
 121, 7482, 0.213464
 121, 7485, 0.078315
 121, 7486, -0.024644
 121, 7487, 0.050278
 121, 7511, -0.154704
 121, 7512, -0.317334
 121, 7513, 0.193581
 121, 7514, 0.128152
 121, 7522, 0.151958
 121, 7523, 0.037179
 121, 8010, -0.029259
 121, 8021, -0.034186
 121, 8022, -0.034202
 121, 8030, -0.219881
 121, 8042, 0.105155
 121, 8511, -0.144757
 121, 8512, 0.134416
 121, 8513, 0.141637
 121, 8514, -0.175934
 121, 8520, 0.655374
 121, 8531, -0.032261
 121, 8532, -0.121310
 121, 9001, 0.099719
 121, 9002, 0.206792
 121, 9003, 0.103250
 121, 9112, 0.099394
 121, 9131, 0.221738
 121, 9133, 0.068021
 121, 9211, 0.064140
 121, 9213, 0.091315
 121, 9231, 0.074918
 121, 9232, 0.074558
 121, 9234, 0.074395
 121, 9252, 0.114076
 121, 9253, 0.105409
 121, 9261, 0.090187
 121, 9262, 0.481837
 121, 9271, 0.019210
 121, 9272, 0.185255
 121, 9301, 0.053131
 121, 9302, 0.043247
 121, 9305, 0.076939
 121, 9500, 0.104702
 122, 111, 0.103565
 122, 112, 0.339669
 122, 121, 0.912133
 122, 130, 0.878502
 122, 141, 0.444724
 122, 142, 0.954329
 122, 201, 0.102568
 122, 202, 0.099753
 122, 1511, 0.410968
 122, 1512, 0.093756
 122, 1513, 0.167605
 122, 1520, 0.081203
 122, 1531, 0.102339
 122, 1533, 0.199213
 122, 1551, 0.147870
 122, 1571, 0.297065
 122, 1572, 0.101615
 122, 1581, 0.101223
 122, 1585, 0.109118
 122, 1588, 0.094697
 122, 1591, 0.105331
 122, 1598, 0.267523
 122, 1772, 0.108731
 122, 2030, 0.092996
 122, 2212, 0.064655
 122, 2222, 0.097904
 122, 2416, 0.104146
 122, 2441, 0.086816
 122, 2442, 0.137116
 122, 2523, 0.083531
 122, 2524, 0.089192
 122, 2612, 0.102702
 122, 2663, 0.100305
 122, 2666, 0.109145
 122, 2670, 0.092568
 122, 2682, 0.099622
 122, 2811, 0.215812
 122, 2812, 0.076143
 122, 2852, 0.183381
 122, 2875, 0.094827
 122, 2912, 0.091334
 122, 2924, 0.075851
 122, 2932, 0.189373
 122, 2971, 0.109160
 122, 3002, 0.086550
 122, 3162, 0.095511
 122, 3310, 0.089722
 122, 3420, 0.105464
 122, 3430, 0.076314
 122, 3613, 0.067662
 122, 3615, 0.100000
 122, 3720, 0.182575
 122, 4011, 0.148661
 122, 4022, 0.097439
 122, 4511, 0.136682
 122, 4521, 0.105746
 122, 4522, 0.132406
 122, 4523, 0.332007
 122, 4525, -0.010949
 122, 4531, 0.062492
 122, 4532, 0.099914
 122, 4533, 0.270942
 122, 4534, 0.195894
 122, 4541, 0.139104
 122, 4542, 0.157072
 122, 4544, 0.092197
 122, 4545, 0.177234
 122, 4550, 0.030767
 122, 5010, 0.303300
 122, 5020, 0.193824
 122, 5030, 0.081053
 122, 5050, 0.109978
 122, 5111, 0.953490
 122, 5113, 0.097421
 122, 5117, 0.101951
 122, 5118, 0.086576
 122, 5121, 0.282911
 122, 5123, 0.543209
 122, 5132, 0.174215
 122, 5136, 0.184071
 122, 5137, 0.101130
 122, 5138, 0.093587
 122, 5139, 0.172679
 122, 5141, 0.103224
 122, 5145, 0.084800
 122, 5146, 0.120028
 122, 5147, 0.055837
 122, 5151, 0.057209
 122, 5152, 0.102103
 122, 5153, 0.111890
 122, 5154, 0.055876
 122, 5184, 0.043372
 122, 5187, 0.057271
 122, 5188, 0.164699
 122, 5190, 0.096075
 122, 5211, -0.083659
 122, 5212, 0.090329
 122, 5221, 0.096966
 122, 5222, 0.070594
 122, 5224, 0.080107
 122, 5225, 0.215954
 122, 5227, 0.072780
 122, 5231, 0.136718
 122, 5242, -0.095755
 122, 5243, 0.160930
 122, 5244, 0.142671
 122, 5245, 0.030650
 122, 5246, 0.261553
 122, 5247, 0.115556
 122, 5248, 0.031289
 122, 5263, 0.089873
 122, 5510, -0.066497
 122, 5522, 0.106546
 122, 5523, 0.164904
 122, 5530, -0.194886
 122, 5540, -0.306265
 122, 5552, 0.034755
 122, 6010, 0.095971
 122, 6021, 0.125534
 122, 6022, 0.087118
 122, 6023, 0.092891
 122, 6024, 0.277854
 122, 6312, 0.063326
 122, 6340, 0.071854
 122, 6411, 0.171612
 122, 6420, 0.070565
 122, 6512, -0.073435
 122, 6522, 0.153599
 122, 6601, 0.117133
 122, 6603, -0.003505
 122, 6713, -0.016334
 122, 6720, 0.016962
 122, 7011, 0.168809
 122, 7012, 0.311735
 122, 7020, 0.252116
 122, 7031, 0.191480
 122, 7210, 0.035899
 122, 7222, -0.033269
 122, 7230, 0.102246
 122, 7240, 0.083842
 122, 7260, 0.033769
 122, 7411, 0.119922
 122, 7412, -0.009118
 122, 7413, 0.069783
 122, 7414, 0.014218
 122, 7415, 0.014093
 122, 7420, -0.024926
 122, 7430, 0.068473
 122, 7440, 0.005694
 122, 7450, -0.200484
 122, 7460, 0.028393
 122, 7470, 0.071200
 122, 7481, 0.092721
 122, 7482, 0.177728
 122, 7485, 0.093970
 122, 7486, 0.029523
 122, 7487, 0.069994
 122, 7511, 0.035919
 122, 7512, -0.326150
 122, 7513, 0.093526
 122, 7514, 0.069059
 122, 7522, 0.244019
 122, 7523, 0.036410
 122, 8010, -0.101135
 122, 8021, -0.017235
 122, 8022, 0.005720
 122, 8030, -0.099628
 122, 8042, 0.018199
 122, 8511, -0.096802
 122, 8512, 0.031018
 122, 8513, 0.094066
 122, 8514, -0.317208
 122, 8520, 0.699787
 122, 8531, 0.086430
 122, 8532, -0.118588
 122, 9002, 0.071514
 122, 9111, 0.159046
 122, 9112, 0.090615
 122, 9131, 0.227615
 122, 9133, 0.172251
 122, 9211, 0.136378
 122, 9220, 0.045620
 122, 9231, 0.240335
 122, 9232, 0.074165
 122, 9234, 0.093500
 122, 9240, 0.106660
 122, 9252, 0.092950
 122, 9253, 0.104641
 122, 9261, 0.205020
 122, 9262, 0.919575
 122, 9271, 0.367769
 122, 9272, 0.197391
 122, 9301, 0.040219
 122, 9302, 0.092076
 122, 9305, 0.065009
 122, 9500, 0.302246
 123, 111, 0.213886
 123, 112, 0.606238
 123, 121, 0.406999
 123, 122, 0.099783
 123, 130, 0.945060
 123, 141, 0.599564
 123, 142, 0.814316
 123, 201, 0.105609
 123, 501, 0.109566
 123, 1030, 0.313133
 123, 1421, 0.079191
 123, 1511, 0.770938
 123, 1512, 0.606753
 123, 1513, 0.430423
 123, 1520, 0.087877
 123, 1531, 0.109440
 123, 1533, 0.101203
 123, 1551, 0.469599
 123, 1561, 0.325853
 123, 1571, 0.754949
 123, 1572, 0.108008
 123, 1598, 0.094369
 123, 2010, 0.214749
 123, 2040, 0.217827
 123, 2442, 0.069417
 123, 2521, 0.101665
 123, 2522, 0.096447
 123, 2523, 0.202762
 123, 2524, 0.188715
 123, 2614, 0.110079
 123, 2811, 0.094161
 123, 2812, 0.094616
 123, 2821, 0.091299
 123, 2852, 0.156981
 123, 2862, 0.097091
 123, 2912, 0.205145
 123, 2922, 0.092021
 123, 2923, 0.047311
 123, 2924, 0.089599
 123, 3002, 0.060741
 123, 3110, 0.107619
 123, 3161, 0.088106
 123, 3162, 0.090667
 123, 3210, 0.346103
 123, 3310, 0.114628
 123, 3320, 0.098632
 123, 3430, 0.102148
 123, 3614, 0.106599
 123, 3710, 0.108787
 123, 3720, 0.309762
 123, 4511, 0.162992
 123, 4521, 0.209453
 123, 4522, 0.136005
 123, 4523, 0.495296
 123, 4525, 0.311191
 123, 4531, 0.169964
 123, 4533, 0.342030
 123, 4534, 0.096561
 123, 4541, 0.299863
 123, 4542, 0.102528
 123, 4544, 0.229173
 123, 4545, 0.181466
 123, 4550, 0.248167
 123, 5010, 0.172117
 123, 5020, 0.312414
 123, 5030, 0.315308
 123, 5050, 0.314925
 123, 5111, 0.390456
 123, 5116, 0.319590
 123, 5117, 0.096958
 123, 5118, 0.203172
 123, 5121, 0.097249
 123, 5122, 0.106802
 123, 5123, 0.547861
 123, 5132, 0.099966
 123, 5133, 0.098103
 123, 5139, 0.193307
 123, 5142, 0.085931
 123, 5146, 0.148866
 123, 5154, 0.206110
 123, 5181, 0.101711
 123, 5187, 0.074627
 123, 5188, 0.294898
 123, 5211, -0.060628
 123, 5212, 0.026185
 123, 5222, 0.391273
 123, 5244, 0.062119
 123, 5246, 0.027683
 123, 5248, 0.012726
 123, 5510, -0.075308
 123, 5530, -0.180822
 123, 5540, -0.110363
 123, 6022, 0.201643
 123, 6023, 0.087172
 123, 6024, 0.577859
 123, 6321, 0.096323
 123, 6323, 0.081221
 123, 6412, 0.092566
 123, 6512, 0.016468
 123, 6601, 0.044531
 123, 6603, 0.080532
 123, 6713, 0.057703
 123, 6720, 0.040215
 123, 7011, 0.417740
 123, 7020, 0.060161
 123, 7032, 0.057328
 123, 7132, 0.253108
 123, 7134, 0.097249
 123, 7140, 0.174878
 123, 7222, -0.011033
 123, 7260, 0.046612
 123, 7411, 0.102710
 123, 7412, 0.143149
 123, 7413, 0.072447
 123, 7414, 0.145417
